name, rating, karma, post_score, comment_score
m0n5ter,5.3,53.0,0,0
m0Ray,1.08,10.0,0,3
m0sia,5.71,57.1,0,0
m4rr,0.0,0.0,0,0
m52,-1.35,-11.0,0,0
madcat1991,34.9,21.0,41,0
MadLord,0.0,0.0,0,0
madproger,0.0,0.0,0,0
madprogrammer,4.2,42.0,0,0
magnitudo,1.7,17.0,0,0
MAGNUS8,0.0,0.0,0,0
mahimus,0.0,0.0,0,0
makc3d,2.2,22.0,0,0
Makeman,65.63,23.0,79,13
maki,2.04,20.4,0,0
Maksym,0.8,8.0,0,0
Malinnikov,7.5,75.0,0,0
Malinskiy,1.3,13.0,0,0
malkolm,0.0,0.0,0,0
malroc,5.88,58.75,0,0
mamchyts,0.0,0.0,0,0
MangaRulit,0.0,0.0,0,0
mangen100,0.1,1.0,0,0
MANIAK_dobrii,0.4,4.0,0,0
mapbka,0.0,0.0,0,0
